time_ns,acorr
0.0,0.9999999999993928
0.001000100010001,0.9996482977034907
0.002000200020002,0.9993303464947904
0.003000300030003,0.9990384984617547
0.004000400040004,0.9987553255439177
0.005000500050005001,0.9984807263138985
0.006000600060006,0.9982115912986416
0.0070007000700070005,0.9979357174006293
0.008000800080008,0.9976630367222749
0.009000900090009001,0.9973890153332579
0.010001000100010001,0.9971207226190728
0.011001100110011002,0.9968553527034854
0.012001200120012,0.996590982661763
0.013001300130013,0.9963286281824498
0.014001400140014001,0.9960650439533937
0.015001500150015001,0.9958073005329207
0.016001600160016,0.9955584587864703
0.017001700170017002,0.9953034294113674
0.018001800180018002,0.9950373521548576
0.019001900190019003,0.9947748133702377
0.020002000200020003,0.9945103301143282
0.021002100210021003,0.9942474549222612
0.022002200220022004,0.9939803796578202
0.023002300230023004,0.9937100831575062
0.024002400240024,0.993435239580356
0.025002500250025,0.9931601975452313
0.026002600260026,0.992886336129013
0.027002700270027002,0.9926096360509868
0.028002800280028002,0.9923323395251642
0.029002900290029002,0.9920573275579145
0.030003000300030003,0.9917781027417117
0.031003100310031003,0.9914979444187157
0.032003200320032,0.991219742800168
0.033003300330033,0.9909490474601964
0.034003400340034004,0.990680527217164
0.035003500350035,0.9904103449538119
0.036003600360036005,0.9901423651513496
0.037003700370037,0.989878213644634
0.038003800380038005,0.9896059993572233
0.039003900390039,0.9893308895420734
0.040004000400040006,0.9890479785386967
0.041004100410041,0.9887571706784671
0.04200420042004201,0.9884667899704211
0.043004300430043,0.9881799156402651
0.04400440044004401,0.9878958288313725
0.045004500450045004,0.9876183359276433
0.04600460046004601,0.9873391955642699
0.047004700470047005,0.9870559128179591
0.048004800480048,0.9867811517152147
0.049004900490049005,0.9864975019222193
0.05000500050005,0.9862095211300125
0.051005100510051006,0.9859188929035368
0.052005200520052,0.9856302132686806
0.05300530053005301,0.98534091681724
0.054005400540054004,0.9850634461057356
0.05500550055005501,0.9847788147104011
0.056005600560056004,0.9844900764941601
0.05700570057005701,0.9842017164742446
0.058005800580058005,0.9839190473355696
0.05900590059005901,0.9836420534506346
0.060006000600060005,0.9833596424182078
0.06100610061006101,0.9830828111781986
0.062006200620062006,0.9828053382003181
0.063006300630063,0.9825253112066211
0.064006400640064,0.9822517361952496
0.06500650065006501,0.9819808445751506
0.066006600660066,0.9817076556921309
0.067006700670067,0.9814341352255834
0.06800680068006801,0.981163645458731
0.06900690069006901,0.9808967911783646
0.07000700070007,0.9806342806132051
0.071007100710071,0.9803697764468713
0.07200720072007201,0.9801035611128286
0.07300730073007301,0.9798281128873314
0.074007400740074,0.9795489951741836
0.075007500750075,0.9792748969434403
0.07600760076007601,0.9789987575013802
0.07700770077007701,0.9787239916310442
0.078007800780078,0.9784461849029
0.07900790079007901,0.9781638121580248
0.08000800080008001,0.9778836681993588
0.081008100810081,0.9776087895254746
0.082008200820082,0.9773283565597677
0.08300830083008301,0.9770544743910383
0.08400840084008401,0.976786744522155
0.085008500850085,0.9765144929591213
0.086008600860086,0.9762419256587067
0.08700870087008701,0.97597249766873
0.08800880088008801,0.9757081883291685
0.089008900890089,0.975437624820966
0.09000900090009001,0.9751667796573251
0.09100910091009101,0.9748951694224528
0.09200920092009202,0.9746194888608481
0.093009300930093,0.9743432095047523
0.09400940094009401,0.974065715587252
0.09500950095009501,0.9737901074892622
0.096009600960096,0.9735120874633157
0.09700970097009701,0.9732275622972271
0.09800980098009801,0.9729360779606833
0.09900990099009901,0.9726525128600747
0.1000100010001,0.9723761147433427
0.10101010101010101,0.9720986167047285
0.10201020102010201,0.9718238549261201
0.10301030103010302,0.9715480452932607
0.104010401040104,0.9712715274441259
0.10501050105010501,0.9709953923502446
0.10601060106010601,0.9707238184903363
0.10701070107010702,0.9704505574503561
0.10801080108010801,0.9701738987578185
0.10901090109010901,0.969903864383507
0.11001100110011001,0.9696300432071752
0.11101110111011102,0.969354656617658
0.11201120112011201,0.9690865866737439
0.11301130113011301,0.9688213503808748
0.11401140114011402,0.9685517226029196
0.115011501150115,0.9682806790218219
0.11601160116011601,0.9680168211387057
0.11701170117011701,0.9677546990946461
0.11801180118011802,0.9674920642116432
0.11901190119011901,0.967228967549659
0.12001200120012001,0.9669652479416542
0.12101210121012101,0.9667104429221133
0.12201220122012202,0.9664510241243701
0.12301230123012301,0.9661932707478614
0.12401240124012401,0.9659360094190476
0.125012501250125,0.9656814622976706
0.126012601260126,0.9654282889359626
0.127012701270127,0.9651700948447757
0.128012801280128,0.9649081765827302
0.12901290129012902,0.9646552947637856
0.13001300130013002,0.9644022577915777
0.13101310131013102,0.9641480875100805
0.132013201320132,0.9638863611570362
0.133013301330133,0.9636258847928458
0.134013401340134,0.963366084337382
0.135013501350135,0.963102772270921
0.13601360136013602,0.9628392701514684
0.13701370137013702,0.9625766931707572
0.13801380138013802,0.9623189117459959
0.13901390139013903,0.9620621228977843
0.14001400140014,0.9618062328648711
0.141014101410141,0.9615485728449918
0.142014201420142,0.9612937401279179
0.14301430143014301,0.9610402985820106
0.14401440144014402,0.9607786215828548
0.14501450145014502,0.9605144955294306
0.14601460146014603,0.9602546290816436
0.147014701470147,0.9599980136784657
0.148014801480148,0.9597511035439027
0.149014901490149,0.9595032562262386
0.15001500150015,0.9592566089103367
0.15101510151015102,0.9590013624378529
0.15201520152015202,0.9587502575098743
0.15301530153015303,0.9585046244396805
0.15401540154015403,0.9582572804426391
0.155015501550155,0.9580092716439974
0.156015601560156,0.9577582388896474
0.157015701570157,0.9575059988159873
0.15801580158015802,0.9572546216343565
