time_ns,msd
0.001,0.03179010704884531
0.002,0.07102221572060673
0.003,0.10816581928276864
0.004,0.1419071165960122
0.005,0.17364342534319185
0.006,0.20498246525615196
0.007,0.23586208394066568
0.008,0.26625731240111583
0.009,0.2966769131062486
0.01,0.3267835390973216
0.011,0.3562256984501419
0.012,0.38515982062305903
0.013,0.41431974309839187
0.014,0.4440212384966311
0.015,0.4737466840291684
0.016,0.5032428667685311
0.017,0.5315463100563563
0.018,0.559161675592397
0.019,0.5868068269030737
0.02,0.6141923081204663
0.021,0.6420299524620124
0.022,0.670289819467537
0.023,0.6988198356103964
0.024,0.7274010534290984
0.025,0.7561162969222549
0.026,0.7849541106999255
0.027,0.8135337145500319
0.028,0.8421315503241846
0.029,0.8703459818199861
0.03,0.8990284819556514
0.031,0.9278695550179749
0.032,0.9562702868456019
0.033,0.9847239861155073
0.034,1.0127821392412548
0.035,1.040973987665636
0.036,1.0690654737659173
0.037,1.0961893208895221
0.038,1.1229137728204843
0.039,1.1495695217712805
0.04,1.176302856947155
0.041,1.2027641579039492
0.042,1.2291793846450711
0.043,1.255458592693521
0.044,1.2827243368875956
0.045,1.3108185829985988
0.046,1.3389492892140757
0.047,1.3671910847240327
0.048,1.3958489962890868
0.049,1.4244112693772282
0.05,1.4522477207468223
0.051,1.4796904233099806
0.052,1.5063351516439971
0.053,1.5325478074571135
0.054,1.5584177516308135
0.055,1.5838719119250178
0.056,1.6093130433138794
0.057,1.6350733890237172
0.058,1.6613510492346764
0.059,1.6881049621634845
0.06,1.715430542402208
0.061,1.7425283141113075
0.062,1.7699117817761525
0.063,1.7966402242485613
0.064,1.8227418000383917
0.065,1.8485238071350778
0.066,1.8744941991746875
0.067,1.8999642135967063
0.068,1.9251841509722138
0.069,1.9505573626566315
0.07,1.9760454958485862
0.071,2.0015579872982614
0.072,2.0272444888684933
0.073,2.052913829104586
0.074,2.0787855388781304
0.075,2.1043638536388936
0.076,2.130023292599232
0.077,2.1560813050862873
0.078,2.181912875080719
0.079,2.2080143173036846
0.08,2.233651252801083
0.081,2.259526038724385
0.082,2.2848600525943277
0.083,2.310242925871457
0.084,2.335520307996024
0.085,2.3608703421709056
0.086,2.3861087977700106
0.087,2.4114420139292267
0.088,2.4365459659912623
0.089,2.461153479659111
0.09,2.485663728486678
0.091,2.5104526466583827
0.092,2.535202645638119
0.093,2.5597640348121065
0.094,2.5846090111720743
0.095,2.6093783970572346
0.096,2.633496877869557
0.097,2.657611986385965
0.098,2.6822226325594496
0.099,2.7072711519958084
0.1,2.732220113132064
0.101,2.757020473189189
0.102,2.781036808874606
0.103,2.8052676283035063
0.104,2.8292598914137725
0.105,2.853881986812799
0.106,2.878311365974607
0.107,2.903023769314868
0.108,2.9285117554996116
0.109,2.9539384327869063
0.11,2.9791033846888832
0.111,3.0037330095039008
0.112,3.0283568628785695
0.113,3.053173275352996
0.114,3.0782374769168657
0.115,3.103324360966998
0.116,3.1285623974656054
0.117,3.1544492997787863
0.118,3.180439915762208
0.119,3.2061008007337866
0.12,3.2315932312897777
0.121,3.2574071727640215
0.122,3.283574674841631
0.123,3.3099484350941015
0.124,3.336887805369362
0.125,3.363547742485888
0.126,3.390177426459841
0.127,3.4165352815375725
0.128,3.4432606777772747
0.129,3.47029045923989
0.13,3.4971608740516893
0.131,3.5245017870853723
0.132,3.5519777653183278
0.133,3.579577259961591
0.134,3.6077630218703014
0.135,3.6359863178675123
0.136,3.663937539632318
0.137,3.691771335350775
0.138,3.720389967002753
0.139,3.749169585775268
0.14,3.7775044503937787
0.141,3.80586052667539
0.142,3.833832659341468
0.143,3.861678108349943
0.144,3.8895457082865494
0.145,3.918053552339372
0.146,3.946749805789896
0.147,3.9753205590001106
0.148,4.004007497586172
0.149,4.032775326681686
0.15,4.062012915418557
0.151,4.091674192869663
0.152,4.121256706037539
0.153,4.150081976834282
0.154,4.178398568113633
0.155,4.205950841048432
0.156,4.233738059005099
0.157,4.260881101612223
0.158,4.288076864276685
0.159,4.315211029101841
0.16,4.3420309005274405
0.161,4.368900626094817
0.162,4.395036387531483
0.163,4.421332046269984
0.164,4.447395526944437
0.165,4.473310080109462
0.166,4.499305406938889
0.167,4.525457446269055
0.168,4.5512537385519405
0.169,4.576969956773072
0.17,4.602677606973234
0.171,4.628794386187736
0.172,4.655404180429762
0.173,4.681773819851107
0.174,4.708450149720599
0.175,4.7357338163723215
0.176,4.76259278648183
0.177,4.789697233075788
0.178,4.816728693101178
0.179,4.843882816318341
0.18,4.871165703718027
0.181,4.899108520217314
0.182,4.9269659618710095
