time_ns,cm_x,cm_y,cm_z
0.0,12.638671099981453,2.7292109863863825,-20.670044067687968
0.001,12.44481719503629,2.6954560239508347,-20.58203244473545
0.002,12.434632982581936,2.6763780721702206,-20.506350314429675
0.003,12.596826029887266,2.4723320136128364,-20.53589936538905
0.004,12.662461683152848,2.5315517619999532,-20.574064364888105
0.005,12.72283061373659,2.6248631984155355,-20.71971241562859
0.006,12.84049422259489,2.535263703904881,-20.822690223974746
0.007,12.953253442870768,2.55443728730357,-20.72587625512365
0.008,12.946150898037049,2.5783900926638843,-20.849968120879982
0.009000000000000001,12.92011367022993,2.5956435318657163,-20.807748042020286
0.01,12.908702085306105,2.7947872282805597,-20.943187353133695
0.011,12.916023753479315,2.7538426106518483,-21.123707662538322
0.012,12.927856403749212,2.7499913000669247,-21.227122299205245
0.013000000000000001,12.792916237281114,2.75666535725895,-21.183654614370898
0.014,12.944774848978879,2.6476759904649625,-21.348509534133324
0.015,13.138326673074529,2.54510353218895,-21.388320315064163
0.016,13.177121694190085,2.5240603999544398,-21.528476887700446
0.017,13.33207359135137,2.6572072417988344,-21.40915684221745
0.018000000000000002,13.479010231616938,2.4973356785990606,-21.366965286185593
0.019,13.39723345656211,2.4900502331251966,-21.3647995035058
0.02,13.347653751731588,2.3802260851613695,-21.250191491764188
0.021,13.384698628503308,2.1723080091077316,-21.298833075593098
0.022,13.28275611491653,2.192358124899975,-21.24496355987517
0.023,13.018116335353929,2.3869156274096666,-21.246457067138593
0.024,12.887996466602589,2.377823478586071,-21.1883135828168
0.025,12.736044057845797,2.3867856665590765,-21.067617687284628
0.026000000000000002,12.686519958219394,2.218204212207093,-20.909124152010904
0.027,12.70605488612545,2.2880158705554163,-20.928234239738774
0.028,12.838938370085526,2.350399034644454,-21.033494055532262
0.029,13.100254044823306,2.4116140588969825,-21.113073975097343
0.03,13.05237842011608,2.4105005624604217,-21.04265229630438
0.031,13.019398938632282,2.4134914408703185,-20.961699798442126
0.032,12.892434760724782,2.4680106512779956,-21.256591861636135
0.033,12.938224845136972,2.364634341879067,-21.136324514191372
0.034,12.944609045690846,2.2066704575682667,-21.11991184927774
0.035,12.951566377260622,2.200957577443169,-21.309455461661514
0.036000000000000004,12.87256379037979,2.0320160453400646,-21.39324117950393
0.037,12.99003700637181,2.1724800189992157,-21.537035680423905
0.038,13.060871519724575,2.1244210176910885,-21.626361672462405
0.039,13.16036190651488,2.1820299282216657,-21.55060623627128
0.04,13.326006693209496,2.3299050742913185,-21.507063119680947
0.041,13.745088815714993,2.286724124180268,-21.608354498253973
